time,x,y,theta,vx,vy,omega,fx,fy,tau
0.005,2,2.5,0,0,0,0,173.289,-7.23934e-11,0
0.255,2,2.5,0,0,0,0,1.05415,6.96077e-13,0
0.505,2,2.5,0,0,0,0,0.939863,5.15156e-13,0
0.755,2,2.5,0,0,0,0,0.969741,6.62119e-13,0
1.005,2,2.5,0,0,0,0,1.02904,5.21626e-13,0
1.255,2,2.5,0,0,0,0,1.08811,5.92763e-13,0
1.505,2,2.5,0,0,0,0,1.13705,2.10606e-13,0
1.755,2,2.5,0,0,0,0,1.17012,6.25258e-13,0
2.005,2,2.5,0,0,0,0,1.18252,7.30857e-13,0
2.255,2,2.5,0,0,0,0,1.17751,4.92565e-13,0
2.505,2,2.5,0,0,0,0,1.16472,6.93264e-13,0
2.755,2,2.5,0,0,0,0,1.15164,6.19514e-13,0
3.005,2,2.5,0,0,0,0,1.14099,6.10756e-13,0
3.255,2,2.5,0,0,0,0,1.1327,6.81095e-13,0
3.505,2,2.5,0,0,0,0,1.12591,7.2681e-13,0
3.755,2,2.5,0,0,0,0,1.11999,8.58218e-13,0
4.005,2,2.5,0,0,0,0,1.11466,9.1282e-13,0
4.255,2,2.5,0,0,0,0,1.10983,9.18196e-13,0
4.505,2,2.5,0,0,0,0,1.1055,7.95981e-13,0
4.755,2,2.5,0,0,0,0,1.10165,8.38419e-13,0
5.005,2,2.5,0,0,0,0,1.09822,8.88361e-13,0
5.255,2,2.5,0,0,0,0,1.09518,6.78274e-13,0
5.505,2,2.5,0,0,0,0,1.09248,5.13423e-13,0
5.755,2,2.5,0,0,0,0,1.09009,6.80306e-13,0
6.005,2,2.5,0,0,0,0,1.08796,5.51182e-13,0
6.255,2,2.5,0,0,0,0,1.08608,3.12051e-13,0
6.505,2,2.5,0,0,0,0,1.08443,2.71258e-13,0
6.755,2,2.5,0,0,0,0,1.08297,3.62939e-13,0
7.005,2,2.5,0,0,0,0,1.08168,2.756e-13,0
7.255,2,2.5,0,0,0,0,1.08056,2.81491e-13,0
7.505,2,2.5,0,0,0,0,1.07958,5.92769e-13,0
7.755,2,2.5,0,0,0,0,1.07873,2.11231e-13,0
